X,Y,OBJECTID,TYPE,PARK_NAME,REC_AREA,OWNERSHIP,CLASSIFICATION,LONGITUDE,LATITUDE
589483.549599999561906,4785571.9834,7,Baseball,,Hamilton Mountain,School,,-79.89826279550111,43.21763101737295
593434.249099999666214,4785254.2747,8,Soccer,,Hamilton Mountain,City,,-79.8496842696825,43.21429196994239
593446.184500000439584,4785382.232699999586,9,Soccer,,Hamilton Mountain,City,,-79.84951569805112,43.215442489489405
593390.948800000362098,4785359.1947,10,Basketball,,Hamilton Mountain,School,,-79.8501995075819,43.21524191629742
593942.9512,4784107.648299999535,11,Baseball,,Hamilton Mountain,School,,-79.8436176879818,43.203905841458344
594036.722099999897182,4784124.434399999678,12,Baseball,,Hamilton Mountain,School,,-79.84246079690149,43.204045294009994
593783.193400000222027,4783931.104299999774,13,Soccer,,Hamilton Mountain,City,,-79.84561379289444,43.20233628579905
590945.009200000204146,4782716.303899999708,14,Baseball,,Glanbrook,City,,-79.88074257096457,43.191746517163764
590984.4348,4782738.4207,15,Baseball,,Glanbrook,City,,-79.88025381090814,43.191940888889434
591004.628399999812245,4782692.2639,16,Baseball,,Glanbrook,City,,-79.88001293395399,43.191522903347675
590965.2028,4782675.916699999943,17,Baseball,,Glanbrook,City,,-79.88050074187149,43.19138047675744
590915.199500000104308,4782513.406099999323,18,Baseball,,Glanbrook,City,,-79.88114274077807,43.189923402231166
590870.965900000184774,4782491.2892,19,Baseball,,Glanbrook,City,,-79.88169064083428,43.18972960476802
590894.044300000183284,4782447.0556,20,Baseball,,Glanbrook,City,,-79.88141395102726,43.18932858973661
590937.316399999894202,4782470.13399999961,21,Baseball,,Glanbrook,City,,-79.8808777272996,43.18953115902895
590820.962600000202656,4782333.586699999869,22,Baseball,,Glanbrook,City,,-79.88233180356067,43.188315809482994
590871.927500000223517,4782319.162699999288,23,Baseball,,Glanbrook,City,,-79.88170710381463,43.188179820712094
587650.3235,4786108.1113,24,Basketball,,Hamilton Mountain,City,,-79.92074468732795,43.22267297853298
589744.209800000302494,4786775.94319999963,25,Soccer,,Hamilton Mountain,School,,-79.8948582877338,43.228439390734074
590478.632699999958,4786749.7396,26,Soccer,,Hamilton Mountain,School,,-79.88582031487653,43.22811576042512
587169.523,4783704.5894,27,Basketball,,Hamilton Mountain,City,,-79.92704330543332,43.20108934795264
592930.474999999627471,4786579.536199999973,28,Soccer,,Hamilton Mountain,School,,-79.8556621254121,43.22628541406582
599058.4594,4783917.4962,29,Baseball,,Upper Stoney Creek,City,,-79.78069651561064,43.2015402138494
598968.814399999566376,4783941.325899999589,30,Baseball,,Upper Stoney Creek,City,,-79.78179543612801,43.20176649987383
599198.033300000242889,4783898.205499999225,31,Soccer,,Upper Stoney Creek,City,,-79.77898235659515,43.20134822376169
599288.813099999912,4783873.2411,32,Soccer,,Upper Stoney Creek,City,,-79.77786969418996,43.2011115459095
588988.14670000039041,4798802.540699999779,391,Baseball,,Flamborough,City,,-79.90222171448312,43.3368042980569
588923.466099999845028,4798887.6467,392,Soccer,,Flamborough,City,,-79.90300569083713,43.33757815457275
590186.723299999721348,4799455.020199999213,393,Baseball,,Flamborough,City,,-79.88733124280343,43.34253561519674
590234.098899999633431,4799448.4954,394,Baseball,,Flamborough,City,,-79.88674793222971,43.34247118626107
590333.105600000359118,4799464.9493,395,Soccer,,Flamborough,City,,-79.88552396634222,43.34260742268403
590089.986100000329316,4799382.3964,396,Soccer,,Flamborough,City,,-79.88853643537531,43.34189339724789
589235.663399999961,4798855.306399999186,397,Baseball,,Flamborough,School,,-79.89916026146044,43.337249996908966
588411.695199999958,4798536.300699999556,398,Baseball,,Flamborough,City,,-79.90937458615278,43.334475386784064
588129.994199999608099,4798449.208799999207,399,Baseball,,Flamborough,City,,-79.91286295449763,43.333724384799716
582405.05350000038743,4805446.3428,400,Baseball,,Flamborough,City,,-79.98241972163295,43.39736962709045
