X,Y,OBJECTID,SCHOOL_ID,NAME,ADDRESS,COMMUNITY,CATEGORY,LOWEST_GRADE,HIGHEST_GRADE,LANGUAGE,SCHOOL_BOARD,WEBSITE,COMMENTS,LONGITUDE,LATITUDE
594124.640399999917,4785387.03299999982,216,324,Nora Frances Henderson Secondary School,75 Palmer Road,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.84116358175727,43.21540140701833
597789.548299999908,4776504.2871,217,307,École Élémentaire Michaelle Jean,2121 Regional Rd 56,Glanbrook,Elementary School,1,8,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.79762202878793,43.13496568917635
592690.381199999712408,4789125.033099999651,218,343,Bernhart House - Dawn Patrol,125 Victoria Ave South,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Custody,-79.85819016412195,43.24923186325069
594056.286600000225008,4789400.4461,219,344,Bridge Program - Dawn Patrol,837 King Street East,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Treatment and Corrections,-79.84132055158561,43.25154219698211
596428.917700000107288,4787302.277599999681,220,345,George R. Force,1760 King Street East,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Custody,-79.81246517941415,43.23235311055924
590930.162499999627471,4789275.285199999809,221,346,Grace Haven,138 Herkimer Street,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Care & Treatment,-79.87984458599023,43.25079893552347
594381.314000000245869,4789967.043099999428,222,347,John Howard Non-Res Attendance Centre,654 Barton Street East,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Corrections,-79.8372202871707,43.25660255173317
592215.496000000275671,4786770.582699999213,223,348,Hatts Off Program,465 East 16th Street,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Care & Treatment,-79.86443268107902,43.22809312039298
575937.90610000025481,4791212.8364,224,349,Hatts Off Program,366 Highway No.52,Flamborough,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Care & Treatment,-80.06423832415781,43.26990294665116
592080.682900000363588,4789306.888299999759,225,350,CTCC Lynwood Charlton Centre Augusta Compass,121 Augusta Street,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Care & Treatment,-79.86566891963248,43.250943805601395
